1	13531	13532	13528	13530	13536	13529	13532	13525	13529	13532	13579
2	18727	18818	19013	18775	18750	19035	18726	18925	19142	18948	27049
3	23823	23907	24030	23883	24054	24188	23870	24368	24624	23970	40519
4	28791	29184	29184	28960	29046	29264	28885	29763	30127	28891	53989
5	33760	34469	34357	34230	34112	34388	33887	34910	35519	33769	67459
6	38462	39766	39582	39531	39214	39501	38961	40033	40991	38652	80929
7	43288	45068	44711	44868	44291	44683	43819	44897	46426	43486	94399
8	48121	50260	49887	50126	49342	49819	48718	49661	51868	48633	107869
9	52932	55427	54969	55221	54300	54963	53610	54493	57017	53505	121339
10	57773	60546	59836	60322	59307	60097	58448	59323	62186	58322	134809
11	62786	65688	65074	65327	64204	65281	63348	64149	67393	63158	148279
12	67594	70808	70318	70180	68840	70414	68246	68989	71804	68068	161749
13	72483	75952	75617	75126	73714	75564	73208	73901	76055	72951	175219
14	77325	81053	80930	80008	78617	80747	77980	78849	80241	77923	188689
15	82136	86121	86283	85168	83626	85735	83078	83885	84842	82859	202159
16	86818	91391	91567	90347	88220	90878	88236	88828	89394	87845	215629
17	91842	96780	96750	95609	91961	95996	93339	93451	94439	92837	229099
18	96982	101951	102067	100609	96633	101084	98359	98027	99458	97656	242569
19	102046	107178	107361	105773	101333	106115	103448	102796	104462	102638	256039
20	106912	112343	112656	111110	106020	111294	108407	107679	109515	107576	269509
21	111434	117496	117933	116224	110435	116461	113207	112678	114577	112570	282979
22	115722	122663	123370	121377	115436	121349	118129	117598	119684	117595	296449
23	119778	127786	128232	126530	120524	126377	122492	122504	124774	122572	309919
24	124160	130105	133571	131669	125242	131449	127145	126803	129859	127537	323389
25	129021	135118	138997	136764	130323	136506	131512	131422	134971	132460	336859
26	133910	140108	144016	141867	135432	141546	136314	136200	140096	137283	350329
27	138653	145058	149046	147025	140653	146490	141060	141221	145228	142164	363799
28	143519	149983	153980	152036	145872	151196	145910	146295	150079	147045	377269
29	147031	154826	158834	156798	151107	156134	150648	150454	155236	151753	390739
30	151629	159765	163658	161754	155450	161182	155254	155402	160304	155789	404209
31	156033	164575	168594	166941	159834	164051	159920	158838	163071	159774	417679
32	160933	168065	173275	172176	164319	169071	164319	163636	167698	164479	431149
33	165698	172216	178463	177406	167995	174043	169028	167861	171628	167741	444619
34	170563	177108	183512	182657	172204	178955	173894	172648	176333	171300	458089
35	174193	182149	188643	187886	173689	183851	177806	177449	181017	175165	471559
36	177767	187006	193717	193095	178445	188747	181591	182155	185717	179591	485029
37	180142	191967	198840	197881	183018	193649	186312	186454	189752	184422	498499
38	183214	195847	203942	203074	187717	198555	190112	190363	194283	189245	511969
39	187802	200768	208190	208263	192496	203453	189947	195260	196759	193123	525439
40	191499	205666	213227	213524	197268	208353	194525	200152	201379	197539	538909
41	195947	210669	216892	217045	200355	213252	199159	204877	206149	202089	552379
42	194623	215314	221650	222371	205231	218034	203816	208294	210621	206648	565849
43	198995	219992	226775	227571	206574	222939	208506	212616	215428	211205	579319
44	203263	220988	229050	232816	209785	227840	213173	214825	220247	215501	592789
45	207565	225165	233989	238041	214369	232757	217891	219141	223775	219576	606259
46	210926	229882	238987	242570	216913	237106	221885	223942	226051	221355	619729
47	214096	234013	243280	241962	220889	241805	226668	228837	230780	225769	633199
48	217542	238956	248089	247180	225610	246684	230014	226650	235529	230326	646669
49	222093	239410	250943	250605	230327	251619	234613	231072	239826	235071	660139
50	225387	243448	254267	255597	235044	256520	232876	235054	244750	239865	673609
51	229086	248520	258780	259023	236939	260297	237279	234002	245374	241184	687079
52	233491	253602	263763	263986	241218	265275	241751	238531	250166	245485	700549
53	237365	257295	267767	267826	242284	270269	246369	241764	248277	250342	714019
54	241973	256736	272335	272957	246091	273839	246907	246562	249265	255166	727489
55	246505	261063	277066	278285	250793	277155	251347	250997	253629	259995	740959
56	249268	265533	280372	283434	253560	281306	255823	255360	253450	264803	754429
57	246721	266882	284949	288131	254347	285575	260125	254957	255154	269588	767899
58	251264	270598	288529	293428	258529	289584	264440	258729	259255	273281	781369
59	255771	268923	293236	294092	261587	294237	268706	261710	263720	268099	794839
60	260097	270547	297951	293915	263538	298891	273145	265811	265561	271826	808309
61	264446	275038	293225	296973	262356	303563	277519	267246	267921	276177	821779
62	268641	278115	295016	301761	?	308274	279758	262668	272391	278039	835249
63	273115	271482	297301	306537	?	312756	283813	?	273455	282588	848719
64	277510	?	301087	311309	?	314717	288461	?	277846	287144	862189
65	276130	?	303040	316276	?	318414	293093	?	279900	291758	875659
66	280613	?	306983	314393	?	323157	297749	?	280640	296268	889129
67	285066	?	311464	318731	?	326689	287620	?	283731	291698	902599
68	289407	?	301640	320953	?	330776	290632	?	?	293990	916069
69	290593	?	306163	324789	?	335489	294152	?	?	285688	929539
70	294612	?	301422	329464	?	339361	296855	?	?	289794	943009
71	290267	?	?	333111	?	343860	301128	?	?	293888	956479
72	?	?	?	333095	?	348683	303762	?	?	297994	969949
73	?	?	?	335685	?	352207	305417	?	?	299650	983419
74	?	?	?	337744	?	350324	309748	?	?	?	996889
75	?	?	?	339067	?	355529	314240	?	?	?	1010359
76	?	?	?	343819	?	360261	311073	?	?	?	1023829
77	?	?	?	348624	?	342999	?	?	?	?	1037299
78	?	?	?	353238	?	345938	?	?	?	?	1050769
79	?	?	?	357222	?	343447	?	?	?	?	1064239
80	?	?	?	361815	?	?	?	?	?	?	1077709
81	?	?	?	366157	?	?	?	?	?	?	1091179
82	?	?	?	369886	?	?	?	?	?	?	1104649

