1	0.05	0.09	0.21	0.12	0.22	0.37	1.38	0.99	1.04
6	0.14	0.09	0.29	0.16	0.31	0.52	1.43	1.07	1.3
11	0.17	0.1	0.53	0.19	0.67	0.8	1.96	1.3	1.57
16	0.31	0.09	0.33	0.27	0.7	0.49	1.57	1.63	1.67
21	0.34	0.12	0.53	0.34	0.81	0.83	1.43	1.55	1.39
26	0.83	0.11	0.96	0.3	1.06	0.65	1.85	1.52	2.02
31	0.59	0.13	1.31	0.33	1.47	0.92	1.56	1.57	2.28
36	1.38	0.37	1.68	0.35	2.39	1.75	2.16	2.25	1.89
41	1.02	0.29	1.88	0.37	1.91	2.81	2.25	1.97	3.62
46	2.99	1.04	1.65	0.45	2.48	4.1	2.25	2.07	2.85
51	3.03	3.6	3.46	0.51	3.39	4.6	2.7	2.2	2.19
56	3.13	1.67	2.74	0.51	2.47	4.74	2.59	2.6	2.92
61	3.82	5.33	3.16	0.48	2.22	5.63	3.03	3.93	3.16
66	11.41	10.4	3.19	0.67	2.18	5.19	2.47	3.68	4.09
71	8.19	3.79	4.86	1.16	3.1	4.78	3.84	4.33	2.83
76	?	6.23	3.79	1.91	3.79	7.44	3.26	5.38	3.62
81	?	29	5.2	2.24	3.77	7.89	7.52	10.28	3.75
86	?	29.71	8.71	2.8	4.67	9.19	6.54	8.04	5.12
91	?	32.12	6.94	3.99	4.8	9.36	5.52	9.92	4.84
96	?	11.11	7.5	4.68	5.6	8.34	7.24	12.96	4.29
101	?	14.69	7.19	5.2	6.84	10.02	6.56	21.57	4.23
106	?	?	7.9	7.22	5.47	14.92	6.84	18.72	4.98
111	?	?	9.97	8.39	6.43	23.8	7.87	14.29	4.99
116	?	?	15.67	9.11	6.12	20.91	8.97	21.11	5.09
121	?	?	14.64	10.19	6.32	25.12	8.22	13.13	5.67
126	?	?	?	12.2	7.29	38.79	9.5	23.29	6.1
131	?	?	?	15.61	8.07	20.83	11.36	18.93	7.71
136	?	?	?	18.7	10.57	27.53	14.17	23.8	6.36
141	?	?	?	15.49	7.44	36.92	11.98	29.37	7.18
146	?	?	?	19	11.41	31.77	10.46	19.1	7.57
151	?	?	?	24.67	13.77	50.6	14.02	22.38	8.43
156	?	?	?	18.01	16.11	53.65	15.97	16.48	11.43
161	?	?	?	25.15	21.27	47.07	16.15	22.93	9.39
166	?	?	?	24.3	27.22	62.39	19.69	33.74	12.23
171	?	?	?	27.38	25.47	54.57	20.84	34.43	7.9
176	?	?	?	25.26	32.69	68.66	19.38	34.8	11.19
181	?	?	?	31.3	34	74.26	20.32	37.87	12.58
186	?	?	?	22.2	29.45	74.66	30.33	44.37	14.61
191	?	?	?	22.92	31.84	82.16	32.85	39.28	18.41
196	?	?	?	28.31	33.45	70.71	27.14	53.01	18.95
201	?	?	?	28.79	39.41	75.58	40.16	42.65	18.12
